Run,Program Version,User,Time Started (UTC),Time Finished (UTC),Minutes Spent,Position,Points,testing question? (8vufenf),"Have you noticed surveillance technologies in your neighborhood that were installed by the government, police, or private businesses (not personal home cameras like Ring or Nest)? (lw3083d)",What is your ZIP code? (7bepp7b),participantID,assignmentID,projectID,startedAt,computerCountry,computerID,device,Which of the following surveillance tools have you heard of or seen in your city? (Select all that apply) (8dl9hmt),"How concerned are you about surveillance technology in public spaces like streets, sidewalks, or public transit? (n15scu9)",How often do you notice surveillance cameras or sensors in your neighborhood or daily routine? (6itkmu),How familiar are you with how automatic license plate reader (ALPR) cameras work? (724al0n),"After being approved by local governments, private companies like Flock Safety install Automatic License Plate Reader (ALPR) cameras in neighborhoods and share data with police. Before today, how aware were you of that fact? (50mnfkf)","In some Bay Area cities, Automatic License Plate Reader (ALPR) cameras store an image of your license plate, vehicle make and model, and location in a searchable database for up to 12 months every time you drive past one. Before today, how aware were you of that fact? (6s6r3ex)","Police can search the Automatic License Plate Reader (ALPR) database for your data without a warrant or approval from any other organization. Before today, how aware were you of that fact? (zke2ete)","Police can legally share your license plate Automatic License Plate Reader (ALPR) data with other local governments/police departments within California at any time without a warrant. Before today, how aware were you of that fact? (skzr4a8)","The image above shows locations and number of Automatic License Plate Reader (ALPR) cameras in the Bay Area reported by residents. Actual locations and counts may vary, but there is likely to be more installed than shown in the image. Before today, how aware were you of the number of ALPR cameras in the Bay Area? (3eg0nl6)",How supportive are you of Automatic License Plate Reader (ALPR) cameras installed by local governments and used by law enforcement? (y7ka0mc),How supportive are you of private individuals or businesses installing Automatic License Plate Reader (ALPR) cameras and sharing the data voluntarily with police? (uktyzgu),Have you ever felt uncomfortable or treated unfairly due to surveillance technology? (5bdjc2c),"veiHow concerned are you that surllance technologies may harm others (e.g., unhoused people, immigrants, protesters), even if they don’t affect you personally? (gvrrsub)",Do you believe surveillance is being used more for public safety or social control? (cfu4j56),Which of the following groups should have access to surveillance data? (Select all that apply) (bgnrn84),Who do you trust to make decisions about how surveillance is used in your city? (Select all that apply) (w02ux9i),How important is it to you that the public has input or oversight before new surveillance technologies are adopted? (ttzmqna),"How likely do you think it is that police would share Automatic License Plate Reader (ALPR) data with federal agencies, even if not legally allowed? (gnnu4ft)",It’s okay for police to track and store the location data of people who haven’t done anything wrong. (nd9oynf),"Surveillance technologies such as ALPRs disproportionately impact marginalized communities (e.g., by race, income, housing status, or immigration status)? (f1j1olu)",Surveillance technologies such as ALPRs increase public safety. (u84m4pd),What should be done about ALPRs in your city? Select all that apply (vwzlz5r),What is your race or ethnicity? (Select all that apply) (d8morv7),How did you find this survey? (yyxwhnl),age,gender,education,yearOfBirth,educationScore,politicalViews,householdIncome,femaleAs1MaleAs0,politicalLiberalness,householdIncomeScore,householdIncomeEstimate,How did surveillance make you feel or impact you? (urjiu1g),How concerned are you about local Automatic License Plate Reader (ALPR) data being shared with federal agencies like ICE or the FBI? (izclv6s),The San Francisco Standard recently reported that the San Francisco and Oakland Police Departments shared Automatic License Plate Reader (ALPR) data with federal agencies like ICE — in violation of state law. How concerned does this make you feel? (dgwct6r)
16293409,38,,2025-08-16 21:54:46,,7.23,7h99xur,0,,Yes,94602,pa70da451,pc50d7ef1,pffe2652f,2025/08/16 2:51 PM,United States,2c5e447cb459d625e173e0e4c493481a455b2c05,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Drones,Facial recognition technology,ShotSpotter or gunshot detection,Speed Cameras",4 = Very concerned,4 = Often,4 = Very familiar,5 = Fully aware,4 = Very aware,4 = Very aware,4 = Very aware,1 = Not at all aware,1 = Strongly oppose,1 = Strongly oppose,Yes,5 = Extremely concerned,5 = Entirely for social control,No one — it shouldn’t be collected,None of the above,5 = Absolutely essential,5 = Very likely,1 = Strongly disagree,5 = Strongly agree,3 = Neutral,Ban them,Prefer not to say,App,48,male,completedOnlyHighSchoolOrTheEquivalent,1977,2,Moderate,"$150,000 to $199,999",0,0,7,175000,1984/Orwellian/Big Brother/Domestic Terrorists. Our way of life is over.,5 = Extremely concerned,5 = Extremely concerned
16294311,38,,2025-08-17 0:28:36,,2.37,7h99xur,0,,Yes,94587,pada38a98,pf41d5d11,pffe2652f,2025/08/16 5:27 PM,United States,95133c80a6653566ddfa257ad03f0c6f3aa95fad,smartphone,"Surveillance/security cameras,Drones,Facial recognition technology",4 = Very concerned,3 = Sometimes,4 = Very familiar,4 = Very aware,4 = Very aware,4 = Very aware,2 = Slightly aware,1 = Not at all aware,3 = Neutral / Not sure,3 = Neutral / Not sure,No,4 = Very concerned,3 = Equally both,"Police,Private companies,Federal Government",Police department,4 = Very important,4 = Likely,3 = Neutral,5 = Strongly agree,5 = Strongly agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Keep things as they are,Increase use",Asian or Pacific Islander,On the App,27,female,completedMastersDegree,1998,6,Liberal,"$200,000 or more",1,1,8,225000,,4 = Very concerned,2 = Slightly concerned
16294479,38,,2025-08-17 1:02:25,,6.93,7h99xur,0,,Not sure,94080,pd8f61a35,pf743b398,pffe2652f,2025/08/16 5:59 PM,United States,e39509b8310256867b829b3a11a42849f24811db,smartphone,"Automatic License Plate Readers (ALPRs),Speed Cameras",5 = Extremely concerned,3 = Sometimes,3 = Somewhat familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,4 = Somewhat support,1 = Strongly oppose,No,1 = Not concerned at all,2 = Mostly for public safety,Police,Police department,3 = Moderately important,1 = Very unlikely,3 = Neutral,3 = Neutral,4 = Somewhat agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Asian or Pacific Islander,Freecash,37,male,completedBachelorsDegree,1988,5,Conservative,"$200,000 or more",0,-1,8,225000,,1 = Not at all concerned,2 = Slightly concerned
16294699,38,,2025-08-17 1:55:22,,4.43,7h99xur,0,,Yes,95125,pbcc3a996,pa0ede46c,pffe2652f,2025/08/16 6:49 PM,United States,f0e4238db785f7625f306cce52c49e61b32b7530,smartphone,"Surveillance/security cameras,Drones,Facial recognition technology,Speed Cameras",4 = Very concerned,4 = Often,3 = Somewhat familiar,2 = Slightly aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,2 = Slightly aware,2 = Somewhat oppose,1 = Strongly oppose,Not sure,2 = Slightly concerned,4 = Mostly for social control,No one — it shouldn’t be collected,Community members,4 = Very important,4 = Likely,1 = Strongly disagree,3 = Neutral,3 = Neutral,"Require more transparency,Require public approval",White,Positly,41,female,completedTradeTechicalVocationalTraing,1984,3,Moderate,"$40,000 to $59,999",1,0,3,50000,,2 = Slightly concerned,3 = Moderately concerned
16294706,38,,2025-08-17 1:57:08,,17.27,7h99xur,0,,Yes,94109,pa519049f,pa4a8ded1,pffe2652f,2025/08/16 6:52 PM,United States,2057ab8e3f78d6bc1d7e56731e5fdabd8233015b,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Speed Cameras",2 = Slightly concerned,5 = All the time,3 = Somewhat familiar,5 = Fully aware,3 = Somewhat aware,5 = Fully aware,5 = Fully aware,4 = Very aware,3 = Neutral / Not sure,3 = Neutral / Not sure,Yes,4 = Very concerned,4 = Mostly for social control,"Police,Federal Government",ME.,5 = Absolutely essential,1 = Very unlikely,1 = Strongly disagree,1 = Strongly disagree,3 = Neutral,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Another race or ethnicity,Instagram,44,female,completedOnlyHighSchoolOrTheEquivalent,1981,2,Moderate,"$85,000 to $114,999",1,0,5,100000,"Many years ago a purse was stolen from a teacher of my oldest son. Unaware if this incident, the teachers in his classroom began treating Me rudely and several days later two officers came to my house to question Me and I denied any involvement or even knowledge of what had occurred. But then they revealed photos of the individual who was caught on camera at Target purchasing TV's and I was appalled due to the fact that she ACTUALLY resembled Me a great deal. I was mortified but I convinced  them that I was innocent and let them investigate my room and there were no evidence of identity theft or purchases of TV's or anything else. WheW!! But it was a close call that I never found out the outcome and I never really recovered the relationship with his teachers which one of those teachers was my 5th grade instructor at the same school!! Shame.",5 = Extremely concerned,5 = Extremely concerned
16295164,38,,2025-08-17 3:57:51,,2.03,7h99xur,0,,Yes,94107,pa25e654c,pf6b36bc0,pffe2652f,2025/08/16 8:55 PM,United States,e0f4c703e793eab6ae25835eca253a5986902024,smartphone,Speed Cameras,1 = Not at all concerned,2 = Rarely,1 = Not at all familiar,1 = Not at all aware,2 = Slightly aware,2 = Slightly aware,2 = Slightly aware,1 = Not at all aware,3 = Neutral / Not sure,3 = Neutral / Not sure,Prefer not to say,3 = Moderately concerned,2 = Mostly for public safety,No one — it shouldn’t be collected,Community members,3 = Moderately important,3 = Unsure,3 = Neutral,3 = Neutral,3 = Neutral,Keep things as they are,Prefer not to say,Instagram,45,female,completedBachelorsDegree,1980,5,Moderate,"$60,000 to $84,999",1,0,4,72500,,3 = Moderately concerned,3 = Moderately concerned
16295179,38,,2025-08-17 4:00:10,,6.88,7h99xur,0,,Not sure,94605,pd3a8e3ff,pdaf6f437,pffe2652f,2025/08/16 8:56 PM,United States,25a99a455a50fcd6c8694fee7a88156e455c74cb,smartphone,"Surveillance/security cameras,Drones,ShotSpotter or gunshot detection,Speed Cameras",3 = Moderately concerned,4 = Often,2 = Slightly familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Strongly oppose,1 = Strongly oppose,Yes,4 = Very concerned,5 = Entirely for social control,No one — it shouldn’t be collected,None,5 = Absolutely essential,5 = Very likely,1 = Strongly disagree,4 = Somewhat agree,5 = Strongly agree,"Ban them,Require public approval",Prefer not to say,Survey spin,28,female,completedOnlyHighSchoolOrTheEquivalent,1997,2,Liberal,"$10,000 to $24,999",1,1,1,17500,It’s very uncomfortable to not be aware you’re being watch and even if you are aware I feel it’s an invasion of privacy,5 = Extremely concerned,5 = Extremely concerned
16295602,38,,2025-08-17 5:48:16,,7.9,7h99xur,0,,Yes,94603,pd5162d5f,pf15ddecc,pffe2652f,2025/08/16 10:42 PM,United States,dad3f604e69df3ade7738e6f1c856306bd2b85e2,desktop,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),ShotSpotter or gunshot detection",1 = Not at all concerned,3 = Sometimes,3 = Somewhat familiar,3 = Somewhat aware,2 = Slightly aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,3 = Neutral / Not sure,1 = Strongly oppose,No,5 = Extremely concerned,3 = Equally both,Police,"Community organizations,Community members",5 = Absolutely essential,4 = Likely,1 = Strongly disagree,5 = Strongly agree,3 = Neutral,"Reduce use,Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Middle Eastern or North African,Branded Survey,57,female,completedAssociateDegreeOnly,1968,4,Conservative,"$115,000 to $149,999",1,-1,6,132500,,5 = Extremely concerned,5 = Extremely concerned
16295844,38,,2025-08-17 7:14:32,,9.98,7h99xur,0,,Not sure,94546,pb7826fa0,pdd4a212e,pffe2652f,2025/08/17 12:11 AM,United States,7e518284f1dc58b1f6c755013b98a55932ee8a20,smartphone,"Surveillance/security cameras,Drones,ShotSpotter or gunshot detection,Speed Cameras",2 = Slightly concerned,3 = Sometimes,3 = Somewhat familiar,2 = Slightly aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,4 = Somewhat support,4 = Somewhat support,No,2 = Slightly concerned,2 = Mostly for public safety,Police,"Police department,Community members",3 = Moderately important,2 = Unlikely,1 = Strongly disagree,2 = Somewhat disagree,4 = Somewhat agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Asian or Pacific Islander,MyPoints,47,female,completedOnlyHighSchoolOrTheEquivalent,1978,2,Liberal,"$85,000 to $114,999",1,1,5,100000,,3 = Moderately concerned,4 = Very concerned
16295872,38,,2025-08-17 7:27:33,,6.15,7h99xur,0,,Not sure,94611,pd8a24e2d,pc5e68264,pffe2652f,2025/08/17 12:24 AM,United States,a195657dc4cfccda1a4df13bc2727d23db92de28,smartphone,,1 = Not at all concerned,1 = Never,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,3 = Neutral / Not sure,3 = Neutral / Not sure,Not sure,1 = Not concerned at all,4 = Mostly for social control,,,1 = Not important at all,3 = Unsure,3 = Neutral,3 = Neutral,3 = Neutral,,Prefer not to say,.,44,male,completedAssociateDegreeOnly,1981,4,Very liberal,"Less than $9,999",0,2,0,4500,,1 = Not at all concerned,1 = Not at all concerned
16296231,38,,2025-08-17 9:24:38,,2.7,7h99xur,0,,Yes,94568,pfd7a09b3,pc3679e90,pffe2652f,2025/08/17 2:22 AM,United States,d80d96393c85e1f046a8e499a0fb6e5b42ab53b9,smartphone,"Surveillance/security cameras,Speed Cameras",2 = Slightly concerned,2 = Rarely,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,2 = Somewhat oppose,2 = Somewhat oppose,Not sure,4 = Very concerned,4 = Mostly for social control,Federal Government,Community members,5 = Absolutely essential,5 = Very likely,1 = Strongly disagree,5 = Strongly agree,3 = Neutral,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Prefer not to say,Eureka app,21,female,completedOnlyHighSchoolOrTheEquivalent,2004,2,Liberal,"$115,000 to $149,999",1,1,6,132500,,5 = Extremely concerned,4 = Very concerned
16296247,38,,2025-08-17 9:32:35,,3.03,7h99xur,0,,Yes,94080,pdaf57882,pbcc55ec9,pffe2652f,2025/08/17 2:30 AM,United States,e34bbf633d5adc5854d44ab6b0865873b203eea7,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Facial recognition technology,Speed Cameras",4 = Very concerned,3 = Sometimes,3 = Somewhat familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Strongly oppose,1 = Strongly oppose,Yes,3 = Moderately concerned,4 = Mostly for social control,Federal Government,Community members,4 = Very important,4 = Likely,1 = Strongly disagree,5 = Strongly agree,2 = Somewhat disagree,Reduce use,Asian or Pacific Islander,Attapoll,30,male,completedAssociateDegreeOnly,1995,4,Conservative,"$115,000 to $149,999",0,-1,6,132500,Violation of my rights,4 = Very concerned,3 = Moderately concerned
16297102,38,,2025-08-17 13:40:48,,1.55,7h99xur,0,,Yes,95687,pa2626ca8,pdcc1ec8c,pffe2652f,2025/08/17 6:38 AM,United States,c819eb7f38c1cc7387172dc785f2f0893b529324,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Drones,Facial recognition technology,ShotSpotter or gunshot detection,Speed Cameras",5 = Extremely concerned,3 = Sometimes,1 = Not at all familiar,4 = Very aware,2 = Slightly aware,4 = Very aware,2 = Slightly aware,2 = Slightly aware,3 = Neutral / Not sure,3 = Neutral / Not sure,No,4 = Very concerned,3 = Equally both,"Police,Local government,Private companies,Federal Government,No one — it shouldn’t be collected","Police department,Community members",4 = Very important,3 = Unsure,4 = Somewhat agree,3 = Neutral,2 = Somewhat disagree,"Require more safeguards (e.g., limits on use, access, or retention)",White,Five surveys,29,female,completedOnlyHighSchoolOrTheEquivalent,1996,2,Conservative,"$60,000 to $84,999",1,-1,4,72500,,2 = Slightly concerned,3 = Moderately concerned
16297846,38,,2025-08-17 16:42:56,,12.67,7h99xur,0,,No,94124,pf1e79a1d,pc8acbb4a,pffe2652f,2025/08/17 9:36 AM,United States,761d48ad5e0e0f3d264e276272c2d68380569426,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Drones,Speed Cameras",3 = Moderately concerned,4 = Often,3 = Somewhat familiar,5 = Fully aware,2 = Slightly aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Strongly oppose,1 = Strongly oppose,Yes,5 = Extremely concerned,3 = Equally both,Police,"Community organizations,Community members",5 = Absolutely essential,1 = Very unlikely,1 = Strongly disagree,1 = Strongly disagree,3 = Neutral,"Reduce use,Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval","Hispanic or Latino,White",Earn Star,47,female,completedMastersDegree,1978,6,Liberal,"Less than $9,999",1,1,0,4500,I feel uncomfortable. But I know that they are trying to keep people safe supposably.,4 = Very concerned,5 = Extremely concerned
16298698,38,,2025-08-17 19:24:00,,4.9,7h99xur,0,,No,94565,pd409ff52,pb301d35e,pffe2652f,2025/08/17 12:22 PM,United States,43649b9bdaa1fc651baea63ec9326a7163fe94b0,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Drones,Speed Cameras",3 = Moderately concerned,3 = Sometimes,2 = Slightly familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,3 = Neutral / Not sure,1 = Strongly oppose,No,5 = Extremely concerned,4 = Mostly for social control,No one — it shouldn’t be collected,"Community organizations,Community members",4 = Very important,5 = Very likely,1 = Strongly disagree,5 = Strongly agree,4 = Somewhat agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency",Middle Eastern or North African,App,27,female,completedDoctorateDegree,1998,8,Liberal,"$60,000 to $84,999",1,1,4,72500,,5 = Extremely concerned,5 = Extremely concerned
16298975,38,,2025-08-17 20:16:08,,2.48,7h99xur,0,,Yes,94603,pbe4c6721,pc0fed4d9,pffe2652f,2025/08/17 1:13 PM,United States,b5a3ce5706b61492e36fec3d27925373b8034fcb,desktop,"Surveillance/security cameras,Facial recognition technology",1 = Not at all concerned,2 = Rarely,4 = Very familiar,3 = Somewhat aware,3 = Somewhat aware,3 = Somewhat aware,3 = Somewhat aware,4 = Very aware,2 = Somewhat oppose,4 = Somewhat support,No,1 = Not concerned at all,3 = Equally both,"Police,Local government","Local elected officials,Police department",2 = Slightly important,2 = Unlikely,1 = Strongly disagree,2 = Somewhat disagree,4 = Somewhat agree,Require more transparency,Another race or ethnicity,Flyer,38,female,completedMastersDegree,1987,6,Liberal,"$150,000 to $199,999",1,1,7,175000,,2 = Slightly concerned,3 = Moderately concerned
16299168,38,,2025-08-17 20:58:27,,5.43,7h99xur,0,,No,95050,pf76d4493,pf2400679,pffe2652f,2025/08/17 1:53 PM,United States,2c90be791f8af90449da3b711decbec5b7629a86,smartphone,"Surveillance/security cameras,Speed Cameras",1 = Not at all concerned,1 = Never,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,3 = Neutral / Not sure,3 = Neutral / Not sure,Prefer not to say,3 = Moderately concerned,3 = Equally both,"Police,Federal Government",Police department,3 = Moderately important,3 = Unsure,3 = Neutral,3 = Neutral,4 = Somewhat agree,Don’t know,"Hispanic or Latino,Asian or Pacific Islander",Online Survey Website,49,female,completedTradeTechicalVocationalTraing,1976,3,Conservative,"Less than $9,999",1,-1,0,4500,,3 = Moderately concerned,5 = Extremely concerned
16299258,38,,2025-08-17 21:13:30,,4.42,7h99xur,0,,Yes,94587,pcb361f20,pcff7f935,pffe2652f,2025/08/17 2:09 PM,United States,cc14803f907565aed28a535f10daecf5afcc7835,tablet,Automatic License Plate Readers (ALPRs),4 = Very concerned,4 = Often,4 = Very familiar,3 = Somewhat aware,3 = Somewhat aware,3 = Somewhat aware,3 = Somewhat aware,2 = Slightly aware,4 = Somewhat support,4 = Somewhat support,No,1 = Not concerned at all,3 = Equally both,"Police,Local government,Federal Government","Local elected officials,Police department",3 = Moderately important,1 = Very unlikely,2 = Somewhat disagree,4 = Somewhat agree,4 = Somewhat agree,Require public approval,Asian or Pacific Islander,Instagram,55,male,completedAssociateDegreeOnly,1970,4,Conservative,"$40,000 to $59,999",0,-1,3,50000,,1 = Not at all concerned,3 = Moderately concerned
16299549,38,,2025-08-17 22:01:27,,11.33,7h99xur,0,,No,94115,paf4298a1,pbf2a6597,pffe2652f,2025/08/17 2:54 PM,United States,5329a961bf61f512f441b8d9d5ea68f03c9ae372,smartphone,"Surveillance/security cameras,Speed Cameras",2 = Slightly concerned,2 = Rarely,2 = Slightly familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,2 = Somewhat oppose,1 = Strongly oppose,No,5 = Extremely concerned,4 = Mostly for social control,Police,No one,5 = Absolutely essential,5 = Very likely,1 = Strongly disagree,5 = Strongly agree,2 = Somewhat disagree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Prefer not to say,App,56,female,completedOnlyHighSchoolOrTheEquivalent,1969,2,Liberal,"Less than $9,999",1,1,0,4500,,5 = Extremely concerned,5 = Extremely concerned
16299878,38,,2025-08-17 23:03:21,,3.07,7h99xur,0,,No,94509,paedb9110,pa68f4828,pffe2652f,2025/08/17 4:01 PM,United States,5944a824fd9160a894778e2ba47d2bcd17457ad0,smartphone,None of the above,1 = Not at all concerned,1 = Never,2 = Slightly familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,3 = Neutral / Not sure,2 = Somewhat oppose,Not sure,3 = Moderately concerned,4 = Mostly for social control,Private companies,Police department,3 = Moderately important,5 = Very likely,4 = Somewhat agree,5 = Strongly agree,1 = Strongly disagree,"Require more safeguards (e.g., limits on use, access, or retention)","Asian or Pacific Islander,White",Friend,28,male,completedOnlyHighSchoolOrTheEquivalent,1997,2,Conservative,"$40,000 to $59,999",0,-1,3,50000,,1 = Not at all concerned,2 = Slightly concerned
16300214,38,,2025-08-18 0:01:08,,20.68,7h99xur,0,,Not sure,95688,pf39f29b2,pd7554929,pffe2652f,2025/08/17 4:59 PM,United States,17f621787650c65e50f80f18949f27d13bf0b6a6,smartphone,"Surveillance/security cameras,Speed Cameras",2 = Slightly concerned,1 = Never,2 = Slightly familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,5 = Fully aware,2 = Slightly aware,2 = Somewhat oppose,4 = Somewhat support,Not sure,2 = Slightly concerned,2 = Mostly for public safety,"Police,Federal Government","Local elected officials,Community organizations,Community members",3 = Moderately important,5 = Very likely,1 = Strongly disagree,5 = Strongly agree,4 = Somewhat agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Prefer not to say,survey app,24,female,completedOnlyHighSchoolOrTheEquivalent,2001,2,Liberal,"Less than $9,999",1,1,0,4500,,5 = Extremely concerned,5 = Extremely concerned
16301020,38,,2025-08-18 2:07:21,,4.32,7h99xur,0,,Yes,94596,pd5fc1898,pc0cb47a4,pffe2652f,2025/08/17 7:05 PM,United States,43ee8d99db877b30f1397fffe3c083d12d0273ce,smartphone,"Automatic License Plate Readers (ALPRs),Speed Cameras",2 = Slightly concerned,2 = Rarely,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,3 = Neutral / Not sure,3 = Neutral / Not sure,No,2 = Slightly concerned,3 = Equally both,"Police,Federal Government","Local elected officials,Police department",4 = Very important,2 = Unlikely,1 = Strongly disagree,3 = Neutral,4 = Somewhat agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency","Hispanic or Latino,Asian or Pacific Islander",Eureka app,42,female,completedAssociateDegreeOnly,1983,4,Liberal,"$60,000 to $84,999",1,1,4,72500,,3 = Moderately concerned,2 = Slightly concerned
